
Team Schedule: T-ball East AL Braves
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Red Sox","tbwredsox","Braves","tbealbraves","3/4/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Braves","tbealbraves","3/18/2019","6:00 PM","Field 5","f5"
"Braves","tbealbraves","Yankees","tbealyankees","3/20/2019","6:00 PM","Field 5","f5"
"Brewers","tbenlbrewers","Braves","tbealbraves","3/23/2019","11:00 AM","Field 5","f5"
"Braves","tbealbraves","Rangers","tbenlrangers","3/26/2019","7:30 PM","T-Ball","tb"
"Nationals","tbwnationals","Braves","tbealbraves","3/28/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Braves","tbealbraves","3/30/2019","2:30 PM","T-Ball","tb"
"Braves","tbealbraves","Cardinals","tbwcardinals","4/3/2019","6:00 PM","T-Ball","tb"
"Braves","tbealbraves","Cubs","tbealcubs","4/8/2019","6:00 PM","T-Ball","tb"
"Braves","tbealbraves","Angels","tbenlangels","4/12/2019","7:30 PM","T-Ball","tb"
"Orioles","tbealorioles","Braves","tbealbraves","4/15/2019","6:00 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Braves","tbealbraves","4/19/2019","6:00 PM","T-Ball","tb"
"Braves","tbealbraves","Giants","tbwgiants","4/25/2019","7:30 PM","T-Ball","tb"
"Braves","tbealbraves","Royals","tbenlroyals","4/29/2019","6:00 PM","T-Ball","tb"
"Mets","tbenlmets","Braves","tbealbraves","5/11/2019","9:00 AM","Field 5","f5"

Team Schedule: T-ball East AL Cubs
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Cubs","tbealcubs","Nationals","tbwnationals","3/4/2019","7:30 PM","T-Ball","tb"
"Cubs","tbealcubs","Red Sox","tbwredsox","3/7/2019","6:00 PM","T-Ball","tb"
"Orioles","tbealorioles","Cubs","tbealcubs","3/19/2019","7:30 PM","T-Ball","tb"
"Cubs","tbealcubs","Angels","tbenlangels","3/22/2019","7:30 PM","T-Ball","tb"
"Mets","tbenlmets","Cubs","tbealcubs","3/26/2019","6:00 PM","Field 5","f5"
"Blue Jays","tbwbluejays","Cubs","tbealcubs","3/29/2019","6:00 PM","Field 5","f5"
"Cubs","tbealcubs","Royals","tbenlroyals","4/2/2019","7:30 PM","T-Ball","tb"
"Braves","tbealbraves","Cubs","tbealcubs","4/8/2019","6:00 PM","T-Ball","tb"
"Cubs","tbealcubs","Astros","tbwastros","4/13/2019","12:00 PM","T-Ball","tb"
"Cubs","tbealcubs","Dodgers","tbealdodgers","4/20/2019","1:00 PM","T-Ball","tb"
"Rangers","tbenlrangers","Cubs","tbealcubs","4/24/2019","6:00 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Cubs","tbealcubs","4/27/2019","1:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Cubs","tbealcubs","5/7/2019","7:30 PM","T-Ball","tb"
"Cubs","tbealcubs","Brewers","tbenlbrewers","5/11/2019","11:00 AM","T-Ball","tb"
"Cubs","tbealcubs","Giants","tbwgiants","5/16/2019","6:00 PM","Field 5","f5"

Team Schedule: T-ball East AL Dodgers
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Dodgers","tbealdodgers","Braves","tbealbraves","3/18/2019","6:00 PM","Field 5","f5"
"Red Sox","tbwredsox","Dodgers","tbealdodgers","3/20/2019","7:30 PM","Field 5","f5"
"Giants","tbwgiants","Dodgers","tbealdodgers","3/23/2019","11:30 AM","T-Ball","tb"
"Yankees","tbealyankees","Dodgers","tbealdodgers","3/26/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Brewers","tbenlbrewers","3/29/2019","7:30 PM","Field 5","f5"
"Rangers","tbenlrangers","Dodgers","tbealdodgers","4/2/2019","6:00 PM","Field 5","f5"
"Dodgers","tbealdodgers","Astros","tbwastros","4/8/2019","7:30 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Dodgers","tbealdodgers","4/12/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Nationals","tbwnationals","4/16/2019","6:00 PM","Field 5","f5"
"Cubs","tbealcubs","Dodgers","tbealdodgers","4/20/2019","1:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Orioles","tbealorioles","4/23/2019","6:00 PM","Field 5","f5"
"Angels","tbenlangels","Dodgers","tbealdodgers","4/26/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Mets","tbenlmets","4/29/2019","7:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Dodgers","tbealdodgers","5/4/2019","1:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Blue Jays","tbwbluejays","5/11/2019","9:00 AM","T-Ball","tb"

Team Schedule: T-ball East AL Orioles
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Orioles","tbealorioles","Brewers","tbenlbrewers","3/2/2019","11:00 AM","T-Ball","tb"
"Orioles","tbealorioles","Cardinals","tbwcardinals","3/5/2019","6:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Orioles","tbealorioles","3/7/2019","7:30 PM","T-Ball","tb"
"Orioles","tbealorioles","Cubs","tbealcubs","3/19/2019","7:30 PM","T-Ball","tb"
"Orioles","tbealorioles","Red Sox","tbwredsox","3/22/2019","6:00 PM","Field 5","f5"
"Angels","tbenlangels","Orioles","tbealorioles","3/25/2019","6:00 PM","T-Ball","tb"
"Orioles","tbealorioles","Rangers","tbenlrangers","3/30/2019","1:00 PM","T-Ball","tb"
"Orioles","tbealorioles","Blue Jays","tbwbluejays","4/4/2019","7:30 PM","Field 5","f5"
"Royals","tbenlroyals","Orioles","tbealorioles","4/12/2019","6:00 PM","Field 5","f5"
"Orioles","tbealorioles","Braves","tbealbraves","4/15/2019","6:00 PM","T-Ball","tb"
"Orioles","tbealorioles","Yankees","tbealyankees","4/19/2019","7:30 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Orioles","tbealorioles","4/23/2019","6:00 PM","Field 5","f5"
"Orioles","tbealorioles","Mets","tbenlmets","5/6/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Orioles","tbealorioles","5/9/2019","7:30 PM","Field 5","f5"
"Giants","tbwgiants","Orioles","tbealorioles","5/18/2019","12:00 PM","T-Ball","tb"

Team Schedule: T-ball East AL Yankees
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Blue Jays","tbwbluejays","Yankees","tbealyankees","3/5/2019","7:30 PM","T-Ball","tb"
"Astros","tbwastros","Yankees","tbealyankees","3/18/2019","7:30 PM","T-Ball","tb"
"Braves","tbealbraves","Yankees","tbealyankees","3/20/2019","6:00 PM","Field 5","f5"
"Red Sox","tbwredsox","Yankees","tbealyankees","3/23/2019","1:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Dodgers","tbealdodgers","3/26/2019","6:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Giants","tbwgiants","3/30/2019","11:30 AM","T-Ball","tb"
"Brewers","tbenlbrewers","Yankees","tbealyankees","4/2/2019","6:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Rangers","tbenlrangers","4/4/2019","6:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Yankees","tbealyankees","4/12/2019","6:00 PM","CP Field","cp"
"Yankees","tbealyankees","Cardinals","tbwcardinals","4/15/2019","6:00 PM","Field 5","f5"
"Orioles","tbealorioles","Yankees","tbealyankees","4/19/2019","7:30 PM","T-Ball","tb"
"Mets","tbenlmets","Yankees","tbealyankees","5/1/2019","7:30 PM","T-Ball","tb"
"Yankees","tbealyankees","Royals","tbenlroyals","5/3/2019","6:00 PM","Field 5","f5"
"Yankees","tbealyankees","Angels","tbenlangels","5/4/2019","2:30 PM","T-Ball","tb"
"Yankees","tbealyankees","Cubs","tbealcubs","5/7/2019","7:30 PM","T-Ball","tb"
