
Team Schedule: T-ball East NL Angels
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Angels","tbenlangels","Blue Jays","tbwbluejays","3/2/2019","3:00 PM","5:00 PM","T-Ball","tb"
"Angels","tbenlangels","Astros","tbwastros","3/6/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Angels","tbenlangels","3/18/2019","6:00 PM","7:15 PM","T-Ball","tb"
"Cubs","tbealcubs","Angels","tbenlangels","3/22/2019","7:30 PM","9:15 PM","T-Ball","tb"
"Angels","tbenlangels","Orioles","tbealorioles","3/25/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Angels","tbenlangels","Red Sox","tbwredsox","3/30/2019","11:30 AM","1:00 PM","Field 5","f5"
"Braves","tbealbraves","Angels","tbenlangels","4/12/2019","7:30 PM","9:45 PM","T-Ball","tb"
"Angels","tbenlangels","Royals","tbenlroyals","4/18/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Angels","tbenlangels","Brewers","tbenlbrewers","4/24/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Angels","tbenlangels","Dodgers","tbealdodgers","4/26/2019","6:00 PM","8:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Angels","tbenlangels","5/4/2019","2:30 PM","4:00 PM","T-Ball","tb"
"Angels","tbenlangels","Giants","tbwgiants","5/7/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Rangers","tbenlrangers","Angels","tbenlangels","5/8/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Angels","tbenlangels","Nationals","tbwnationals","5/11/2019","1:00 PM","2:30 PM","T-Ball","tb"
"Mets","tbenlmets","Angels","tbenlangels","5/18/2019","2:00 PM","4:00 PM","T-Ball","tb"

Team Schedule: T-ball East NL Brewers
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Orioles","tbealorioles","Brewers","tbenlbrewers","3/2/2019","11:00 AM","1:00 PM","T-Ball","tb"
"Royals","tbenlroyals","Brewers","tbenlbrewers","3/19/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Braves","tbealbraves","3/23/2019","11:00 AM","1:00 PM","Field 5","f5"
"Red Sox","tbwredsox","Brewers","tbenlbrewers","3/26/2019","7:30 PM","9:30 PM","Field 5","f5"
"Dodgers","tbealdodgers","Brewers","tbenlbrewers","3/29/2019","7:30 PM","9:00 PM","Field 5","f5"
"Brewers","tbenlbrewers","Yankees","tbealyankees","4/2/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Nationals","tbwnationals","4/4/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Rangers","tbenlrangers","Brewers","tbenlbrewers","4/11/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Giants","tbwgiants","Brewers","tbenlbrewers","4/13/2019","2:00 PM","3:30 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Astros","tbwastros","4/16/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Angels","tbenlangels","Brewers","tbenlbrewers","4/24/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Mets","tbenlmets","4/26/2019","6:00 PM","7:30 PM","Field 5","f5"
"Brewers","tbenlbrewers","Blue Jays","tbwbluejays","5/2/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Brewers","tbenlbrewers","5/9/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Cubs","tbealcubs","Brewers","tbenlbrewers","5/11/2019","11:00 AM","1:00 PM","T-Ball","tb"

Team Schedule: T-ball East NL Mets
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Mets","tbenlmets","Rangers","tbenlrangers","3/6/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Mets","tbenlmets","Cardinals","tbwcardinals","3/20/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Mets","tbenlmets","3/23/2019","3:00 PM","4:30 PM","T-Ball","tb"
"Mets","tbenlmets","Cubs","tbealcubs","3/26/2019","6:00 PM","7:30 PM","Field 5","f5"
"Mets","tbenlmets","Red Sox","tbwredsox","4/4/2019","6:00 PM","7:15 PM","Field 5","f5"
"Mets","tbenlmets","Blue Jays","tbwbluejays","4/11/2019","7:30 PM","9:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Mets","tbenlmets","4/20/2019","1:00 PM","2:30 PM","T-Ball","tb"
"Astros","tbwastros","Mets","tbenlmets","4/22/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Mets","tbenlmets","4/26/2019","6:00 PM","7:30 PM","Field 5","f5"
"Dodgers","tbealdodgers","Mets","tbenlmets","4/29/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Mets","tbenlmets","Yankees","tbealyankees","5/1/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Giants","tbwgiants","Mets","tbenlmets","5/2/2019","6:00 PM","7:30 PM","Field 5","f5"
"Orioles","tbealorioles","Mets","tbenlmets","5/6/2019","6:00 PM","7:30 PM","T-Ball","tb"
"Mets","tbenlmets","Braves","tbealbraves","5/11/2019","9:00 AM","11:00 AM","Field 5","f5"
"Mets","tbenlmets","Angels","tbenlangels","5/18/2019","2:00 PM","4:00 PM","T-Ball","tb"

Team Schedule: T-ball East NL Rangers
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,End Time,Venue Name,Venue Abbreviation
"Cardinals","tbwcardinals","Rangers","tbenlrangers","3/2/2019","1:00 PM","3:00 PM","T-Ball","tb"
"Mets","tbenlmets","Rangers","tbenlrangers","3/6/2019","7:30 PM","9:00 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Rangers","tbenlrangers","3/20/2019","6:00 PM","7:30 PM","T-Ball","tb"
