
Team Schedule: T-ball West Astros
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Astros","tbwastros","Mets","tbenlmets","3/4/2019","6:00 PM","Field 6","f6"
"Angels","tbenlangels","Astros","tbwastros","3/6/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Yankees","tbealyankees","3/18/2019","7:30 PM","T-Ball","tb"
"Royals","tbenlroyals","Astros","tbwastros","3/25/2019","7:30 PM","T-Ball","tb"
"Astros","tbwastros","Blue Jays","tbwbluejays","3/27/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Braves","tbealbraves","3/30/2019","2:30 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Astros","tbwastros","4/1/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Astros","tbwastros","4/8/2019","7:30 PM","T-Ball","tb"
"Cubs","tbealcubs","Astros","tbwastros","4/13/2019","12:00 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Astros","tbwastros","4/16/2019","6:00 PM","T-Ball","tb"
"Red Sox","tbwredsox","Astros","tbwastros","4/19/2019","6:00 PM","Field 5","f5"
"Giants","tbwgiants","Astros","tbwastros","4/27/2019","2:30 PM","T-Ball","tb"
"Astros","tbwastros","Nationals","tbwnationals","4/30/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Rangers","tbenlrangers","5/1/2019","6:00 PM","T-Ball","tb"
"Astros","tbwastros","Orioles","tbealorioles","5/9/2019","7:30 PM","Field 5","f5"

Team Schedule: T-ball West Blue Jays
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Angels","tbenlangels","Blue Jays","tbwbluejays","3/2/2019","3:00 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Yankees","tbealyankees","3/5/2019","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Rangers","tbenlrangers","3/20/2019","6:00 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Cardinals","tbwcardinals","3/23/2019","1:00 PM","Field 5","f5"
"Astros","tbwastros","Blue Jays","tbwbluejays","3/27/2019","6:00 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Cubs","tbealcubs","3/29/2019","6:00 PM","Field 5","f5"
"Orioles","tbealorioles","Blue Jays","tbwbluejays","4/4/2019","7:30 PM","Field 5","f5"
"Mets","tbenlmets","Blue Jays","tbwbluejays","4/11/2019","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Red Sox","tbwredsox","4/16/2019","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Braves","tbealbraves","4/19/2019","6:00 PM","T-Ball","tb"
"Giants","tbwgiants","Blue Jays","tbwbluejays","4/23/2019","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Royals","tbenlroyals","4/25/2019","6:00 PM","T-Ball","tb"
"Brewers","tbenlbrewers","Blue Jays","tbwbluejays","5/2/2019","6:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Blue Jays","tbwbluejays","5/8/2019","6:00 PM","T-Ball","tb"
"Dodgers","tbealdodgers","Blue Jays","tbwbluejays","5/11/2019","9:00 AM","T-Ball","tb"

Team Schedule: T-ball West Cardinals
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Cardinals","tbwcardinals","Rangers","tbenlrangers","3/2/2019","1:00 PM","T-Ball","tb"
"Orioles","tbealorioles","Cardinals","tbwcardinals","3/5/2019","6:00 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Angels","tbenlangels","3/18/2019","6:00 PM","T-Ball","tb"
"Mets","tbenlmets","Cardinals","tbwcardinals","3/20/2019","7:30 PM","T-Ball","tb"
"Blue Jays","tbwbluejays","Cardinals","tbwcardinals","3/23/2019","1:00 PM","Field 5","f5"
"Cardinals","tbwcardinals","Royals","tbenlroyals","3/28/2019","7:30 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Astros","tbwastros","4/1/2019","6:00 PM","T-Ball","tb"
"Braves","tbealbraves","Cardinals","tbwcardinals","4/3/2019","6:00 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Dodgers","tbealdodgers","4/12/2019","6:00 PM","T-Ball","tb"
"Yankees","tbealyankees","Cardinals","tbwcardinals","4/15/2019","6:00 PM","Field 5","f5"
"Nationals","tbwnationals","Cardinals","tbwcardinals","4/20/2019","10:00 AM","Field 5","f5"
"Red Sox","tbwredsox","Cardinals","tbwcardinals","4/25/2019","6:00 PM","Field 5","f5"
"Cardinals","tbwcardinals","Cubs","tbealcubs","4/27/2019","1:00 PM","T-Ball","tb"
"Cardinals","tbwcardinals","Giants","tbwgiants","5/4/2019","11:30 AM","T-Ball","tb"
"Cardinals","tbwcardinals","Brewers","tbenlbrewers","5/9/2019","6:00 PM","T-Ball","tb"

Team Schedule: T-ball West Giants
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Royals","tbenlroyals","Giants","tbwgiants","3/4/2019","7:30 PM","Field 6","f6"
"Giants","tbwgiants","Dodgers","tbealdodgers","3/23/2019","11:30 AM","T-Ball","tb"
"Yankees","tbealyankees","Giants","tbwgiants","3/30/2019","11:30 AM","T-Ball","tb"
"Giants","tbwgiants","Brewers","tbenlbrewers","4/13/2019","2:00 PM","T-Ball","tb"
"Rangers","tbenlrangers","Giants","tbwgiants","4/20/2019","2:30 PM","T-Ball","tb"
"Giants","tbwgiants","Blue Jays","tbwbluejays","4/23/2019","7:30 PM","T-Ball","tb"
"Braves","tbealbraves","Giants","tbwgiants","4/25/2019","7:30 PM","T-Ball","tb"
"Giants","tbwgiants","Astros","tbwastros","4/27/2019","2:30 PM","T-Ball","tb"
"Giants","tbwgiants","Red Sox","tbwredsox","4/30/2019","7:30 PM","T-Ball","tb"
"Giants","tbwgiants","Mets","tbenlmets","5/2/2019","6:00 PM","Field 5","f5"
"Cardinals","tbwcardinals","Giants","tbwgiants","5/4/2019","11:30 AM","T-Ball","tb"
"Angels","tbenlangels","Giants","tbwgiants","5/7/2019","6:00 PM","T-Ball","tb"
"Giants","tbwgiants","Nationals","tbwnationals","5/10/2019","7:30 PM","Field 7","f7"
"Cubs","tbealcubs","Giants","tbwgiants","5/16/2019","6:00 PM","Field 5","f5"
"Giants","tbwgiants","Orioles","tbealorioles","5/18/2019","12:00 PM","T-Ball","tb"

Team Schedule: T-ball West Nationals
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Cubs","tbealcubs","Nationals","tbwnationals","3/4/2019","7:30 PM","T-Ball","tb"
"Nationals","tbwnationals","Orioles","tbealorioles","3/7/2019","7:30 PM","T-Ball","tb"
"Nationals","tbwnationals","Mets","tbenlmets","3/23/2019","3:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Braves","tbealbraves","3/28/2019","6:00 PM","T-Ball","tb"
"Royals","tbenlroyals","Nationals","tbwnationals","3/30/2019","10:00 AM","Field 5","f5"
"Brewers","tbenlbrewers","Nationals","tbwnationals","4/4/2019","7:30 PM","T-Ball","tb"
"Nationals","tbwnationals","Yankees","tbealyankees","4/12/2019","6:00 PM","CP Field","cp"
"Dodgers","tbealdodgers","Nationals","tbwnationals","4/16/2019","6:00 PM","Field 5","f5"
"Nationals","tbwnationals","Rangers","tbenlrangers","4/18/2019","7:30 PM","T-Ball","tb"
"Nationals","tbwnationals","Cardinals","tbwcardinals","4/20/2019","10:00 AM","Field 5","f5"
"Red Sox","tbwredsox","Nationals","tbwnationals","4/27/2019","11:30 AM","T-Ball","tb"
"Astros","tbwastros","Nationals","tbwnationals","4/30/2019","6:00 PM","T-Ball","tb"
"Nationals","tbwnationals","Blue Jays","tbwbluejays","5/8/2019","6:00 PM","T-Ball","tb"
"Giants","tbwgiants","Nationals","tbwnationals","5/10/2019","7:30 PM","Field 7","f7"
"Angels","tbenlangels","Nationals","tbwnationals","5/11/2019","1:00 PM","T-Ball","tb"

Team Schedule: T-ball West Red Sox
Visitor Name,Visitor Abbreviation,Home Name,Home Abbreviation,Date,Start Time,Venue Name,Venue Abbreviation
"Red Sox","tbwredsox","Braves","tbealbraves","3/4/2019","6:00 PM","T-Ball","tb"
"Cubs","tbealcubs","Red Sox","tbwredsox","3/7/2019","6:00 PM","T-Ball","tb"
"Red Sox","tbwredsox","Dodgers","tbealdodgers","3/20/2019","7:30 PM","Field 5","f5"
"Orioles","tbealorioles","Red Sox","tbwredsox","3/22/2019","6:00 PM","Field 5","f5"
"Red Sox","tbwredsox","Yankees","tbealyankees","3/23/2019","1:00 PM","T-Ball","tb"
"Red Sox","tbwredsox","Brewers","tbenlbrewers","3/26/2019","7:30 PM","Field 5","f5"
"Angels","tbenlangels","Red Sox","tbwredsox","3/30/2019","11:30 AM","Field 5","f5"
"Mets","tbenlmets","Red Sox","tbwredsox","4/4/2019","6:00 PM","Field 5","f5"
"Red Sox","tbwredsox","Rangers","tbenlrangers","4/13/2019","10:00 AM","Field 5","f5"
"Blue Jays","tbwbluejays","Red Sox","tbwredsox","4/16/2019","7:30 PM","T-Ball","tb"
"Red Sox","tbwredsox","Astros","tbwastros","4/19/2019","6:00 PM","Field 5","f5"
"Royals","tbenlroyals","Red Sox","tbwredsox","4/23/2019","6:00 PM","T-Ball","tb"
"Red Sox","tbwredsox","Cardinals","tbwcardinals","4/25/2019","6:00 PM","Field 5","f5"
